source_file,mode,loss_key,loss_type,year,base_seed,status,net_total_return,net_ARR,ASR,MDD,benchmark_return,excess_return,total_trades,total_transaction_cost,days_with_gate_exits,predictions_dir,metrics_path,source
current,trained,pure_ic,ic,2025,161803,OK,0.26891879653871564,0.27886618387278994,0.9425415782141771,-0.2470469607997985,0.15754542951084383,0.11137336702787182,20,0.002,4,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/training/pure_ic/2025/seed161803/top10_pure_ic_2025_seed161803/20260630_024903/averaged_predictions,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/training/pure_ic/2025/seed161803/top10_pure_ic_2025_seed161803/20260630_024903/backtest_top10_tc_rankdrop/backtest_metrics.json,
current,trained,lambdarank_ic,lambdarank_ic,2025,271828,OK,0.22102481684130382,0.22904537491943566,1.0294983645824858,-0.1714127367041648,0.15754542951084383,0.06347938733045999,144,0.014400000000000001,58,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/training/lambdarank_ic/2025/seed271828/top10_lambdarank_ic_2025_seed271828/20260630_034205/averaged_predictions,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/training/lambdarank_ic/2025/seed271828/top10_lambdarank_ic_2025_seed271828/20260630_034205/backtest_top10_tc_rankdrop/backtest_metrics.json,
current,trained,lambdarank_ic,lambdarank_ic,2025,161803,OK,0.3228476609529978,0.3350384157766306,1.3920449724261068,-0.1908133293629492,0.15754542951084383,0.16530223144215395,70,0.007,22,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/training/lambdarank_ic/2025/seed161803/top10_lambdarank_ic_2025_seed161803/20260630_045613/averaged_predictions,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/training/lambdarank_ic/2025/seed161803/top10_lambdarank_ic_2025_seed161803/20260630_045613/backtest_top10_tc_rankdrop/backtest_metrics.json,
current,trained,portfolio_ic_weight50,portfolio_ic,2025,314159,OK,0.2139876525293145,0.22173043571380013,0.812888882725904,-0.23749880269735427,0.15754542951084383,0.05644222301847068,16,0.0016,3,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/training/portfolio_ic_weight50/2025/seed314159/top10_portfolio_ic_weight50_2025_seed314159/20260630_061247/averaged_predictions,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/training/portfolio_ic_weight50/2025/seed314159/top10_portfolio_ic_weight50_2025_seed314159/20260630_061247/backtest_top10_tc_rankdrop/backtest_metrics.json,
current,trained,portfolio_ic_weight50,portfolio_ic,2025,271828,OK,0.1589736715063561,0.1645934494161967,0.6104695063799845,-0.2526538270266654,0.15754542951084383,0.0014282419955122805,24,0.0024000000000000002,6,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/training/portfolio_ic_weight50/2025/seed271828/top10_portfolio_ic_weight50_2025_seed271828/20260630_073649/averaged_predictions,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/training/portfolio_ic_weight50/2025/seed271828/top10_portfolio_ic_weight50_2025_seed271828/20260630_073649/backtest_top10_tc_rankdrop/backtest_metrics.json,
current,trained,portfolio_ic_weight50,portfolio_ic,2025,161803,OK,0.29743926287676814,0.3085635173027341,1.0264384124152484,-0.2727326905940513,0.15754542951084383,0.1398938333659243,16,0.0016,2,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/training/portfolio_ic_weight50/2025/seed161803/top10_portfolio_ic_weight50_2025_seed161803/20260630_090258/averaged_predictions,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/training/portfolio_ic_weight50/2025/seed161803/top10_portfolio_ic_weight50_2025_seed161803/20260630_090258/backtest_top10_tc_rankdrop/backtest_metrics.json,
reused,reused_existing_training,pure_ic,ic,2022,1729,MISSING_PREDICTIONS,,,,,,,,,,,,sp500_gics_top10_baseline_multiyear/20260623_011810
reused,reused_existing_training,pure_ic,ic,2023,1729,OK,0.12968753298553937,0.13421314141523055,0.806597025839233,-0.12881418315771975,0.11849850546557739,0.01118902751996198,22,0.0022,5,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/reused_prediction_replays/pure_ic/2023/seed1729/averaged_predictions,/content/mci_gru_runs/sp500_gics_top10_loss_comparison_repeated_seeds/20260629_011839/reused_prediction_replays/pure_ic/2023/seed1729/backtest_top10_tc_rankdrop/backtest_metrics.json,sp500_gics_top10_baseline_multiyear/20260623_011810
reused,reused_existing_training,pure_ic,ic,2024,1729,MISSING_PREDICTIONS,,,,,,,,,,,,sp500_gics_top10_baseline_multiyear/20260623_011810
reused,reused_existing_training,pure_ic,ic,2025,1729,MISSING_PREDICTIONS,,,,,,,,,,,,sp500_gics_top10_baseline/20260622_043728
