loss_key,year,new_training_seeds,known_existing_seeds,backtest_metric_seeds_in_current_files
pure_ic,2022,161803 271828,1729,
pure_ic,2023,161803 271828,1729,1729
pure_ic,2024,161803 271828,1729,
pure_ic,2025,161803 271828,1729,161803
lambdarank_ic,2022,161803 271828,314159,
lambdarank_ic,2023,161803 271828,314159,
lambdarank_ic,2024,161803 271828,314159,
lambdarank_ic,2025,161803 271828,314159,161803 271828
portfolio_ic_weight50,2022,161803 271828 314159,,
portfolio_ic_weight50,2023,161803 271828 314159,,
portfolio_ic_weight50,2024,161803 271828 314159,,
portfolio_ic_weight50,2025,161803 271828 314159,,161803 271828 314159
