loss_key,year,n_training_seeds,base_seeds,mean_val_ic,mean_val_rank_ic,mean_test_avg_ic,mean_test_avg_rank_ic,mean_test_cumulative_return
lambdarank_ic,2022,2,161803 271828,0.019628537103023022,0.031050575170065126,-0.031591761727558273,-0.04704831576337741,-0.7474876172341829
lambdarank_ic,2023,2,161803 271828,0.0013926448771820921,0.0014872941120368686,0.057800025680832506,0.04586195099770175,0.6486631115392083
lambdarank_ic,2024,2,161803 271828,0.02944133007005463,0.03068108912216636,0.01761269746936843,0.018812449289310376,0.7008578697891334
lambdarank_ic,2025,2,161803 271828,0.015362592428291758,0.02124607112829483,0.015113890412111322,0.027612788418178776,0.8263341533913444
portfolio_ic_weight50,2022,3,161803 271828 314159,0.03647067745927201,0.025151469267063565,-0.059361120794118566,-0.04312896397096663,-0.6534837614218728
portfolio_ic_weight50,2023,3,161803 271828 314159,0.0021559245692601373,0.0015923729782222403,0.033117835863996865,0.03225044473871863,0.48647670864320397
portfolio_ic_weight50,2024,3,161803 271828 314159,0.04437894232868946,0.03451893621788115,0.04398236291647358,0.03511984668603821,0.7647048081063167
portfolio_ic_weight50,2025,3,161803 271828 314159,0.03916439834771857,0.02921666175137044,0.040436438960511585,0.04181599292684126,0.9089328484644951
pure_ic,2022,2,161803 271828,0.03256253038022307,0.029613636950812035,-0.060105079805431866,-0.04653534333372479,-0.6513501072355212
pure_ic,2023,2,161803 271828,0.0022227308516034753,0.00012424211055646093,0.040919893269910516,0.04085232057222124,0.5838389918977556
pure_ic,2024,2,161803 271828,0.03778476191540742,0.03186868476355827,0.033393529820490736,0.030972843020998717,0.7410911556754854
pure_ic,2025,2,161803 271828,0.032911669839954666,0.030523342059384433,0.03176927040333631,0.03906388051980792,0.9548074545031704
