as_of_date,year,member_count,joined_count,left_count,transition_count,net_change
2016-01-01,2016,505,0,0,0,0
2016-01-05,2016,505,1,1,2,0
2016-01-19,2016,505,1,1,2,0
2016-02-01,2016,505,2,2,4,0
2016-02-22,2016,505,1,1,2,0
2016-03-04,2016,505,1,1,2,0
2016-03-07,2016,505,1,1,2,0
2016-03-30,2016,505,2,2,4,0
2016-04-04,2016,505,1,1,2,0
2016-04-08,2016,506,1,0,1,1
2016-04-18,2016,506,1,1,2,0
2016-04-25,2016,506,1,1,2,0
2016-05-03,2016,506,1,1,2,0
2016-05-13,2016,507,2,1,3,1
2016-05-16,2016,507,1,1,2,0
2016-05-17,2016,506,0,1,1,-1
2016-05-18,2016,506,1,1,2,0
2016-05-23,2016,506,1,1,2,0
2016-05-31,2016,506,1,1,2,0
2016-06-03,2016,506,1,1,2,0
2016-06-24,2016,506,1,1,2,0
2016-07-01,2016,506,2,2,4,0
2016-07-05,2016,507,1,0,1,1
2016-07-06,2016,506,0,1,1,-1
2016-09-06,2016,506,1,1,2,0
2016-09-07,2016,507,1,0,1,1
2016-09-08,2016,506,1,2,3,-1
2016-09-23,2016,506,1,1,2,0
2016-10-03,2016,508,3,1,4,2
2016-10-04,2016,506,0,2,2,-2
2016-10-31,2016,507,1,0,1,1
2016-11-01,2016,509,3,1,4,2
2016-11-02,2016,506,0,3,3,-3
2016-11-10,2016,507,1,0,1,1
2016-11-11,2016,506,0,1,1,-1
2016-12-02,2016,505,2,3,5,-1
2017-01-03,2017,506,1,0,1,1
2017-01-04,2017,505,0,1,1,-1
2017-01-05,2017,505,1,1,2,0
2017-01-17,2017,505,1,1,2,0
2017-01-30,2017,506,1,0,1,1
2017-01-31,2017,505,0,1,1,-1
2017-02-02,2017,506,1,0,1,1
2017-02-03,2017,505,0,1,1,-1
2017-02-27,2017,504,0,1,1,-1
2017-02-28,2017,505,1,0,1,1
2017-03-01,2017,505,1,1,2,0
2017-03-02,2017,505,1,1,2,0
2017-03-13,2017,504,1,2,3,-1
2017-03-16,2017,505,1,0,1,1
2017-03-20,2017,505,3,3,6,0
2017-04-04,2017,505,1,1,2,0
2017-04-05,2017,505,1,1,2,0
2017-06-01,2017,506,1,0,1,1
2017-06-02,2017,505,1,2,3,-1
2017-06-15,2017,504,0,1,1,-1
2017-06-19,2017,505,4,3,7,1
2017-07-18,2017,506,1,0,1,1
2017-07-19,2017,505,0,1,1,-1
2017-07-26,2017,505,5,5,10,0
2017-08-07,2017,506,1,0,1,1
2017-08-08,2017,505,0,1,1,-1
2017-08-29,2017,505,1,1,2,0
2017-09-01,2017,505,2,2,4,0
2017-09-18,2017,505,1,1,2,0
2017-10-13,2017,505,1,1,2,0
2017-12-05,2017,506,1,0,1,1
2017-12-06,2017,505,0,1,1,-1
2018-01-03,2018,505,1,1,2,0
2018-03-07,2018,505,1,1,2,0
2018-03-19,2018,505,3,3,6,0
2018-04-04,2018,505,1,1,2,0
2018-05-01,2018,506,1,0,1,1
2018-05-02,2018,505,0,1,1,-1
2018-05-09,2018,506,1,0,1,1
2018-05-10,2018,505,0,1,1,-1
2018-05-31,2018,505,1,1,2,0
2018-06-01,2018,506,1,0,1,1
2018-06-04,2018,505,0,1,1,-1
2018-06-05,2018,505,1,1,2,0
2018-06-07,2018,505,1,1,2,0
2018-06-18,2018,505,2,2,4,0
2018-06-20,2018,505,1,1,2,0
2018-07-02,2018,505,1,1,2,0
2018-08-28,2018,505,1,1,2,0
2018-09-17,2018,505,1,1,2,0
2018-10-01,2018,506,2,1,3,1
2018-10-02,2018,505,0,1,1,-1
2018-10-11,2018,505,1,1,2,0
2018-10-29,2018,506,1,0,1,1
2018-10-30,2018,505,0,1,1,-1
2018-11-06,2018,505,1,1,2,0
2018-11-13,2018,505,1,1,2,0
2018-12-03,2018,505,3,3,6,0
2018-12-24,2018,505,1,1,2,0
2019-01-02,2019,505,1,1,2,0
2019-01-18,2019,505,1,1,2,0
2019-02-08,2019,506,1,0,1,1
2019-02-11,2019,505,0,1,1,-1
2019-02-15,2019,505,1,1,2,0
2019-02-27,2019,505,1,1,2,0
2019-03-19,2019,507,2,0,2,2
2019-03-20,2019,505,0,2,2,-2
2019-04-02,2019,506,1,0,1,1
2019-04-03,2019,505,0,1,1,-1
2019-05-23,2019,506,1,0,1,1
2019-05-24,2019,505,0,1,1,-1
2019-06-03,2019,506,1,0,1,1
2019-06-04,2019,505,0,1,1,-1
2019-06-07,2019,505,1,1,2,0
2019-07-01,2019,505,1,1,2,0
2019-07-15,2019,505,1,1,2,0
2019-08-09,2019,505,2,2,4,0
2019-09-23,2019,505,1,1,2,0
2019-09-26,2019,505,1,1,2,0
2019-10-03,2019,505,1,1,2,0
2019-11-21,2019,505,1,1,2,0
2019-12-05,2019,505,1,1,2,0
2019-12-09,2019,505,1,1,2,0
2019-12-23,2019,505,3,3,6,0
2020-01-28,2020,505,1,1,2,0
2020-02-03,2020,506,1,0,1,1
2020-03-03,2020,505,0,1,1,-1
2020-04-03,2020,507,2,0,2,2
2020-04-06,2020,505,0,2,2,-2
2020-05-12,2020,505,2,2,4,0
2020-05-22,2020,505,1,1,2,0
2020-06-22,2020,505,3,3,6,0
2020-09-21,2020,505,3,3,6,0
2020-10-07,2020,505,1,1,2,0
2020-10-09,2020,506,1,0,1,1
2020-10-12,2020,505,0,1,1,-1
2020-12-15,2020,506,1,0,1,1
2020-12-21,2020,505,1,2,3,-1
2021-01-07,2021,505,1,1,2,0
2021-01-21,2021,505,1,1,2,0
2021-02-12,2021,505,1,1,2,0
2021-03-22,2021,505,4,4,8,0
2021-04-20,2021,505,1,1,2,0
2021-05-14,2021,505,1,1,2,0
2021-06-03,2021,506,1,0,1,1
2021-06-04,2021,505,0,1,1,-1
2021-07-01,2021,506,1,0,1,1
2021-07-02,2021,505,0,1,1,-1
2021-07-21,2021,505,1,1,2,0
2021-08-03,2021,506,1,0,1,1
2021-08-04,2021,505,0,1,1,-1
2021-08-30,2021,505,1,1,2,0
2021-09-20,2021,505,3,3,6,0
2021-10-01,2021,506,1,0,1,1
2021-10-04,2021,505,0,1,1,-1
2021-11-04,2021,506,1,0,1,1
2021-11-05,2021,505,0,1,1,-1
2021-11-15,2021,506,1,0,1,1
2021-11-16,2021,505,0,1,1,-1
2021-12-14,2021,505,1,1,2,0
2021-12-20,2021,505,3,3,6,0
2022-02-02,2022,506,1,0,1,1
2022-02-03,2022,505,0,1,1,-1
2022-02-15,2022,505,1,1,2,0
2022-03-01,2022,506,1,0,1,1
2022-03-02,2022,505,1,2,3,-1
2022-04-01,2022,506,1,0,1,1
2022-04-04,2022,505,1,2,3,-1
2022-04-11,2022,504,0,1,1,-1
2022-06-08,2022,504,1,1,2,0
2022-06-21,2022,503,2,3,5,-1
2022-09-19,2022,503,2,2,4,0
2022-10-03,2022,503,2,2,4,0
2022-10-12,2022,503,1,1,2,0
2022-11-01,2022,503,1,1,2,0
2022-12-15,2022,504,1,0,1,1
2022-12-19,2022,503,1,2,3,-1
2022-12-22,2022,503,1,1,2,0
2023-01-04,2023,504,1,0,1,1
2023-01-05,2023,503,0,1,1,-1
2023-03-15,2023,503,2,2,4,0
2023-03-20,2023,503,1,1,2,0
2023-05-04,2023,503,1,1,2,0
2023-06-20,2023,503,1,1,2,0
2023-07-03,2023,504,1,0,1,1
2023-07-05,2023,505,1,0,1,1
2023-07-06,2023,503,0,2,2,-2
2023-08-25,2023,503,1,1,2,0
2023-09-18,2023,503,2,2,4,0
2023-10-02,2023,505,2,0,2,2
2023-10-03,2023,503,0,2,2,-2
2023-10-18,2023,503,2,2,4,0
2023-12-18,2023,503,3,3,6,0
2024-03-18,2024,503,2,2,4,0
2024-04-01,2024,504,1,0,1,1
2024-04-02,2024,505,1,0,1,1
2024-04-03,2024,503,0,2,2,-2
2024-05-08,2024,503,1,1,2,0
2024-06-24,2024,503,3,3,6,0
2024-07-08,2024,503,1,1,2,0
2024-09-23,2024,503,3,3,6,0
2024-09-30,2024,504,1,0,1,1
2024-10-01,2024,503,0,1,1,-1
2024-11-26,2024,503,1,1,2,0
2024-12-23,2024,503,3,3,6,0
2025-01-21,2025,504,1,0,1,1
2025-02-10,2025,503,0,1,1,-1
2025-02-24,2025,504,1,0,1,1
2025-02-25,2025,503,0,1,1,-1
2025-03-24,2025,503,4,4,8,0
2025-05-19,2025,503,1,1,2,0
2025-06-30,2025,504,1,0,1,1
2025-07-01,2025,503,0,1,1,-1
2025-07-09,2025,503,1,1,2,0
2025-07-18,2025,503,1,1,2,0
2025-07-23,2025,503,1,1,2,0
2025-08-28,2025,503,1,1,2,0
2025-09-22,2025,503,3,3,6,0
2025-10-30,2025,504,1,0,1,1
2025-10-31,2025,503,0,1,1,-1
2025-11-03,2025,504,1,0,1,1
2025-11-04,2025,503,0,1,1,-1
2025-11-28,2025,503,1,1,2,0
2025-12-11,2025,503,1,1,2,0
2025-12-22,2025,503,3,3,6,0
2026-01-05,2026,504,1,0,1,1
2026-01-06,2026,503,0,1,1,-1
2026-02-09,2026,503,1,1,2,0
2026-03-23,2026,503,4,4,8,0
2026-04-01,2026,504,1,0,1,1
2026-04-02,2026,503,0,1,1,-1
2026-04-09,2026,503,1,1,2,0
2026-05-07,2026,503,1,1,2,0
2026-05-13,2026,503,0,0,0,0
